date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
13-10-1981,6.43,22,14,18,1.96,100,77,1.27
14-10-1981,1.62,19,15,17,1.01,100,91,2.24
15-10-1981,3.09,21,15,18,1.37,100,82,2.47
16-10-1981,11.53,22,18,20,1.13,100,92,2.12
17-10-1981,22.2,22,16,19,1.79,100,82,2.64
18-10-1981,40.55,21,16,18.5,1.52,100,85,2.71
19-10-1981,0,23,15,19,2.64,82,77,1.98
20-10-1981,0,23,13,18,2.75,90,72,3.3
21-10-1981,42.37,22,12,17,2.81,100,73,2.47
22-10-1981,46.24,21,12,16.5,2.99,100,72,1.91
23-10-1981,0,24,12,18,3.11,97,69,4.42
24-10-1981,0,24,13,18.5,3.14,93,71,2.19
25-10-1981,18.78,23,15,19,2.65,100,76,3.21
26-10-1981,7.29,22,13,17.5,2.6,100,74,2.39
27-10-1981,2.59,24,12,18,3.15,100,69,2.53
28-10-1981,0.96,23,13,18,2.7,100,73,1.9
29-10-1981,28.17,20,14,17,1.8,100,84,2.43
30-10-1981,0,23,8,15.5,3.81,100,65,1.38
31-10-1981,19.46,21,12,16.5,2.86,100,75,1.22
01-11-1981,0,22,17,19.5,2.16,75,83,3.85
02-11-1981,7.92,22,16,19,2.13,100,80,3.45
03-11-1981,19.91,21,14,17.5,2.96,100,78,0.32
04-11-1981,0,23,14,18.5,3.26,86,74,0.52
05-11-1981,5.25,22,14,18,2.73,100,75,3.16
06-11-1981,26.79,24,14,19,2.95,100,73,3.43
07-11-1981,10.5,21,17,19,1.43,100,90,3.45
08-11-1981,0,22,18,20,1.6,72,88,1.1
09-11-1981,0,23,19,21,2.34,69,88,2.83
10-11-1981,0,25,13,19,4.11,95,70,3.01
11-11-1981,0,24,15,19.5,3.05,84,74,3.13
12-11-1981,0,23,15,19,2.6,84,75,4.19
13-11-1981,0,23,11,17,2.71,100,68,1.89
14-11-1981,0,22,15,18.5,2.18,81,78,3.74
15-11-1981,0,24,15,19.5,2.7,82,76,2.27
16-11-1981,0,23,15,19,2.22,82,76,4.62
17-11-1981,0,22,19,20.5,0.97,69,91,3.02
18-11-1981,0,20,16,18,0.38,77,87,1.62
19-11-1981,0,22,16,19,0.97,78,81,3.55
20-11-1981,0,22,14,18,1.61,83,77,2.85
21-11-1981,0,22,11,16.5,2.91,97,70,1.94
22-11-1981,0.51,22,14,18,1.99,100,74,3.67
23-11-1981,0,25,11,18,3.7,100,67,2.3
24-11-1981,0,24,11,17.5,2.98,100,67,1.99
25-11-1981,0,22,12,17,2.17,95,71,2.44
26-11-1981,0,22,15,18.5,1.51,81,77,1.5
27-11-1981,0,22,15,18.5,1.38,79,80,1.34
28-11-1981,7.49,22,15,18.5,1.06,100,81,0.98
29-11-1981,0,21,13,17,1.54,85,78,2.43
30-11-1981,0,21,14,17.5,1.52,85,76,3.37
01-12-1981,0,20,15,17.5,0.93,78,86,4.17
02-12-1981,7.87,19,13,16,0.93,100,81,2.59
03-12-1981,4.25,21,16,18.5,1.13,100,85,1.59
04-12-1981,2.22,20,12,16,1.41,100,77,2.68
05-12-1981,0,26,13,19.5,2.9,96,69,3.73
06-12-1981,0,22,7,14.5,3.29,100,65,2.12
07-12-1981,0,20,11,15.5,2.31,93,74,1.26
08-12-1981,0,22,11,16.5,2.8,96,71,4.25
09-12-1981,0,18,11,14.5,1.97,93,78,4.07
10-12-1981,0,21,5,13,3.09,100,63,2.73
11-12-1981,0,25,2,13.5,4.89,100,60,2.57
12-12-1981,0,21,9,15,3.33,100,67,3.07
13-12-1981,7.62,22,14,18,1.84,100,76,3.84
14-12-1981,0.59,22,12,17,2.53,100,72,3.76
15-12-1981,0,24,6,15,3.95,100,63,3.19
16-12-1981,0,22,14,18,2.73,83,77,4.33
17-12-1981,0,15,13,14,0.93,81,91,2.65
18-12-1981,0,17,12,14.5,0.66,87,88,2.38
19-12-1981,0,21,10,15.5,1.31,100,69,2.22
20-12-1981,0,21,7,14,2.67,100,64,3.56
21-12-1981,0,26,1,13.5,5.5,100,61,2.24
22-12-1981,0,23,3,13,4.36,100,60,2.62
23-12-1981,0,21,12,16.5,2.55,90,74,3.01
24-12-1981,0,22,12,17,2.73,94,72,1.71
25-12-1981,0,22,18,20,2.05,71,88,2.66
26-12-1981,0,22,16,19,2.19,79,81,4.07
27-12-1981,0,17,12,14.5,0.72,88,88,2.03
28-12-1981,0,19,10,14.5,2.46,99,73,4.15
29-12-1981,6.14,20,13,16.5,2.06,100,78,1.85
30-12-1981,0,21,7,14,4.13,100,65,1.38
31-12-1981,0,25,11,18,5.23,100,67,3.53
01-01-1982,0,24,9,16.5,4.96,100,66,2.97
02-01-1982,0,25,10,17.5,5.64,100,66,4.23
03-01-1982,0,21,10,15.5,3.89,100,69,1.57
04-01-1982,0,20,9,14.5,3.72,100,70,2.9
05-01-1982,0,22,6,14,5.76,100,63,3.54
06-01-1982,0,22,7,14.5,5.73,100,64,2.81
07-01-1982,0,24,11,17.5,5.09,100,68,1.53
08-01-1982,0,21,9,15,5.06,100,67,1.7
09-01-1982,0,23,7,15,5.36,100,64,3.62
10-01-1982,0,23,10,16.5,4.07,100,68,3.96
11-01-1982,0,22,9,15.5,4.69,100,66,4.05
12-01-1982,0,22,11,16.5,4.14,100,69,2.32
13-01-1982,0,22,15,18.5,3.22,83,76,2.95
14-01-1982,0,20,12,16,3.34,92,74,1.09
15-01-1982,0,22,9,15.5,6.6,100,68,2.9
16-01-1982,0,23,12,17.5,6.35,93,71,3.13
17-01-1982,0,22,10,16,5.86,100,68,3.05
18-01-1982,0,24,5,14.5,7.49,100,62,2.1
19-01-1982,0,24,7,15.5,6.72,100,64,1.9
20-01-1982,0,25,3,14,8.24,100,61,2.85
21-01-1982,0,23,4,13.5,6.96,100,61,4.23
22-01-1982,0,24,5,14.5,7.14,100,62,4.84
23-01-1982,0,24,9,16.5,6.13,100,65,3.15
24-01-1982,0,22,7,14.5,4.66,100,64,5.19
25-01-1982,0,24,14,19,3.54,89,72,3.98
26-01-1982,0,23,12,17.5,2.93,96,70,3.64
27-01-1982,0,20,13,16.5,1.65,88,77,3.84
28-01-1982,0,18,10,14,1.5,96,75,3.54
29-01-1982,0,21,11,16,3.08,99,70,3.25
30-01-1982,0,22,10,16,4.2,100,67,3.08
31-01-1982,0,23,11,17,3.89,100,68,3.5
01-02-1982,0,24,11,17.5,4.45,100,68,2.02
02-02-1982,0,23,10,16.5,4.35,100,67,3.21
03-02-1982,0,24,7,15.5,6.2,100,63,2
04-02-1982,0,25,8,16.5,5.27,100,64,3.51
05-02-1982,0,24,10,17,4.48,100,67,3.02
06-02-1982,0,25,6,15.5,6.18,100,63,2.21
07-02-1982,0,26,5,15.5,6.49,100,63,3.57
08-02-1982,0,26,6,16,6.46,100,63,2.59
09-02-1982,0,25,5,15,6,100,62,3.23
10-02-1982,0,22,8,15,3.59,100,65,1.12
11-02-1982,0,25,5,15,5.68,100,62,4.26
12-02-1982,0,22,10,16,3.64,100,67,3
13-02-1982,0,22,13,17.5,2.91,91,72,2.48
14-02-1982,0,25,8,16.5,4.76,100,64,4.9
15-02-1982,0,26,7,16.5,5.06,100,63,3.05
16-02-1982,0,26,3,14.5,5.47,100,61,2.28
17-02-1982,0,25,4,14.5,4.72,100,62,3.18
18-02-1982,0,27,7,17,4.89,100,64,4.36
19-02-1982,0,27,6,16.5,4.49,100,63,1.68
20-02-1982,0,24,8,16,3.78,100,64,4.11
21-02-1982,0,26,8,17,4.09,100,64,3.9
22-02-1982,0,25,11,18,3.93,100,67,3.77
23-02-1982,0,25,10,17.5,3.74,100,66,2.97
24-02-1982,0,23,11,17,3.03,100,69,2.53
25-02-1982,0,22,14,18,2.54,85,75,0.79
26-02-1982,0,25,8,16.5,4.06,100,64,4.28
27-02-1982,0,27,10,18.5,4.22,100,66,4.18
28-02-1982,0,26,9,17.5,4.07,100,65,1.83
01-03-1982,0.87,26,14,20,2.54,100,70,1.84
02-03-1982,0,25,4,14.5,4.92,100,61,2.53
03-03-1982,0,22,7,14.5,3.51,100,64,3.55
04-03-1982,0,24,6,15,4.56,100,63,3.33
05-03-1982,0,24,9,16.5,3.63,100,66,2.16
06-03-1982,0,23,9,16,3.33,100,66,1.11
07-03-1982,0,26,7,16.5,4.86,100,63,2.71
08-03-1982,0,27,8,17.5,5.3,100,64,2.51
09-03-1982,0,29,7,18,5.87,100,65,2.26
10-03-1982,0,27,6,16.5,5.61,100,63,3.11
11-03-1982,0,26,8,17,4.69,100,64,1.04
12-03-1982,0,27,8,17.5,5.27,100,65,3.35
13-03-1982,0,28,4,16,5.59,100,63,3.03
14-03-1982,0,28,1,14.5,6.39,100,62,1.65
15-03-1982,0,27,1,14,6,100,61,0.72
16-03-1982,0,25,2,13.5,5.35,100,60,3.93
17-03-1982,0,27,6,16.5,4.92,100,64,2.77
18-03-1982,0,29,6,17.5,5.93,100,65,2.44
19-03-1982,0,26,8,17,5.34,100,64,2.71
20-03-1982,0,25,8,16.5,4.35,100,65,2.51
21-03-1982,0,23,12,17.5,2.48,97,70,1.34
22-03-1982,0,24,11,17.5,3.36,100,68,3.38
23-03-1982,4.72,25,15,20,3.3,100,72,4.68
24-03-1982,5.62,26,15,20.5,3.15,100,71,0.91
25-03-1982,8.86,22,15,18.5,1.64,100,80,2.36
