YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
157,16.5,18.2,87,94,1152,27,2.16,14,2.68,73.00747123,4.90281481
183,16.3,20.7,96,93,478,21,3.25,18,2.39,74.63472866,3.983357493
242,16,19.7,95,91,493,25,2.52,16,2.36,67.26074566,4.327816143
172,15.5,20.4,94,86,507,21,3.25,18,2.31,72.49287877,3.816903018
213,12.8,21.7,89,74,143,7,5.79,27,1.91,85.73383184,1.728260438
237,11.9,21.5,83,72,66,4,6.33,29,1.78,90.98796159,1.499285007
158,7,22.5,87,61,1,0,7.06,31,1.66,98.037675,0.672352588
143,9.3,23.1,78,58,10,2,6.69,29,1.53,96.56774995,0.715702776
179,9.3,24.5,81,51,25,9,5.42,26,1.5,108.5559464,0.673478329
170,15.1,22.6,88,79,70,16,4.15,22,1.91,90.19651267,2.382315563
184,16.4,21.2,90,88,481,21,3.25,18,2.27,83.15463489,3.82462911
206,15.3,19.2,92,87,623,29,1.79,13,2.35,65.56486538,4.219295881
158,15.5,17.9,98,99,1272,23,2.88,17,2.93,62.02491967,4.75057854
145,15.7,19.2,94,89,425,23,2.88,17,2.29,71.65108173,4.389168856
231,14.3,21.1,88,82,212,18,3.79,20,2.03,83.43054781,2.697951001
226,15.6,21.3,91,89,569,29,1.79,13,2.33,69.3645609,3.415070741
187,12.6,21.9,86,77,93,8,5.6,27,1.89,88.55172015,1.615410387
220,8.8,21.5,86,72,5,1,6.87,31,1.77,91.92841857,0.817431267
186,9.2,22.6,85,62,30,2,7.9,30,1.66,100.4989141,0.763041757
204,11.9,23,87,68,61,5,5.6,28,1.78,87.2743785,1.122539236
267,10.2,24.3,83,93,0,0,7.1,31,1.97,119.8962133,0.709965641
247,13.9,24,85,77,157,11,6.5,30,1.91,110.7371512,1.290424298
262,15.1,22.7,82,78,147,15,7,31,1.88,115.5743795,2.333539774
194,16.1,18.7,96,95,1147,28,3,17,2.78,65.70327356,4.723162954
123,14.8,19,93,88,592,22,4.3,18,2.36,79.11969957,4.137096115
150,15.5,18.5,96,96,1642,30,2.1,11,3.07,61.33451433,4.613578638
171,15.7,21.5,89,86,337,15,5.2,30,2.15,91.51444012,3.384946762
202,13.8,22.2,87,78,135,14,5.6,29,1.93,96.67042492,2.070833579
175,12.5,22.9,81,71,39,4,5.8,28,1.73,94.66464679,1.333751507
151,7.7,22.8,84,60,17,2,6.9,29,1.62,96.6351637,0.692953966
149,10.5,23.2,96,66,11,1,5.5,31,1.83,85.14933487,0.882441674
161,7.8,24.1,85,57,7,1,7.64,29,1.59,102.71766,0.672904672
157,9.6,24.7,85,68,23,4,6.59,31,1.73,114.9535085,0.68867383
194,14.9,24.2,87,74,331,16,5.3,30,2,102.2649332,1.71923385
293,15.1,23.6,84,70,170,6,5.35,28,1.83,106.9395392,2.038380283
194,15.9,18.8,97,97,985,27,0.72,6,2.73,53.26288733,4.677042516
108,15.4,18.9,95,93,1376,27,1.35,16,2.89,59.57687384,4.483966599
166,15.5,19.9,95,95,680,25,0.95,13,2.52,60.33799907,4.136891797
214,14.5,22.1,89,86,287,17,3.7,30,2.13,84.61453367,2.557120718
206,15,22.1,91,85,262,16,3.62,28,2.11,81.43741389,2.922338002
209,13.8,22.5,85,79,140,12,4.2,30,1.93,83.60284765,2.207693254
190,9.7,22.2,84,71,23,3,4.9,31,1.74,86.66591977,0.987389011
171,8.1,23.4,90,63,0,0,5.9,31,1.72,93.25516032,0.714149015
156,8.7,23.9,85,61,2,0,6.25,29,1.64,94.80867394,0.715598011
148,9.8,25,83,55,78,3,7.52,31,1.59,121.7734558,0.704644842
213,13.6,24.7,84,73,45,4,7.2,30,1.79,117.2460312,1.22511879
239,16.1,22.9,88,83,246,14,5.9,29,2.06,104.477355,3.0456941
188,16.3,21,96,90,630,19,3,25,2.44,70.94473255,4.055335705
162,14.7,20.7,94,91,550,23,4.2,28,2.38,82.64415172,3.405724559
140,13.1,18.5,95,92,1124,25,2.2,20,2.74,65.08696179,3.720668335
172,13,22.2,85,80,262,11,5.4,29,2,96.89651248,1.869888663
264,15.2,22.3,92,83,377,18,2.71,28,2.17,75.46313682,3.032575288
203,13.1,23,87,75,80,5,4.7,28,1.87,85.74847378,1.810510689
197,9.3,23.6,85,65,10,1,5,30,1.69,90.31988964,0.799677879
173,8.2,24.1,90,60,0,0,5.8,31,1.68,94.6339931,0.70962475
146,9.5,24.5,90,66,23,1,5.59,29,1.76,90.94321868,0.747058645
176,10.1,26,83,64,56,4,6.94,31,1.69,122.7566814,0.696548981
242,13.3,25.3,87,78,130,6,6.4,30,1.92,112.792812,1.060889097
281,16.1,24.5,90,83,66,8,6,31,1.98,107.7036681,2.303331088
222,16,22.4,91,87,456,19,3,22,2.26,79.66741939,3.27548159
175,15.8,20.5,93,90,662,27,4.3,26,2.42,82.61529578,4.083031449
179,16,20.7,95,92,667,22,4.7,27,2.47,84.40609518,4.095114235
207,13.6,21.7,90,80,162,12,6.4,30,1.99,98.53890028,2.491783948
209,14.9,22.1,94,91,596,22,4.3,28,2.41,82.11772991,3.033831344
203,12.8,22.4,87,81,53,7,5.8,30,1.91,89.97107301,1.991159394
180,7.7,23.4,86,67,4,1,7.5,31,1.72,101.4126775,0.716244368
157,7.1,24.3,91,60,1,0,7.2,31,1.69,102.5574086,0.680528381
124,6.6,24.8,91,53,1,0,7.83,28,1.62,103.4202053,0.669480007
110,9.7,26,81,47,24,2,7.9,31,1.44,126.4417844,0.691085191
157,14.2,25.1,88,78,102,12,6.4,30,1.93,111.6301108,1.381568546
226,16.5,21.5,94,88,507,19,7,31,2.33,102.2422151,4.023133645
151,15.1,19.5,98,94,1108,23,1.6,11,2.78,57.20326486,4.230921147
145,16.1,19.9,98,95,580,27,4.1,25,2.49,74.16996862,4.440617601
157,15.2,19.8,96,95,1061,21,7,20,2.73,92.37084708,4.136139341
188,15.3,22,93,84,265,21,3.4,26,2.14,78.6374432,3.161082698
236,14.7,22.7,91,83,169,9,4.1,29,2.04,85.94516793,2.578959764
188,13.4,23,85,77,134,9,4.2,27,1.89,85.19283971,1.958269612
177,6.6,24.4,87,66,0,0,7.58,31,1.72,105.5979008,0.669910921
153,8.2,24.2,95,64,57,6,6.7,31,1.82,97.08989404,0.705593195
146,7,25.6,91,58,24,1,7.7,29,1.69,105.8401495,0.666030018
177,10.6,25.3,91,67,47,4,6.5,31,1.8,112.7895526,0.754641109
