YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
129,16.7,26.3,85,60,16,3,6,29,1.64,98.69356698,1.57784229
131,16.9,29.2,88,57,10,1,7.3,27,1.63,109.2264384,0.857343783
125,18.2,29.8,88,53,11,1,8,31,1.59,135.5412155,0.952016309
175,19.6,28.3,90,67,232,13,5,27,1.89,107.3160818,1.876272231
243,19.7,28.6,90,77,95,9,5.5,26,1.93,114.3165736,1.747156407
154,19.1,25.9,90,78,364,25,1.5,11,2.09,77.06749205,2.821036798
104,18.8,25,92,84,412,20,1.15,10,2.21,72.61692152,3.135993128
122,19.2,25.2,92,85,178,18,0.35,5,2.09,67.98937457,3.229734078
134,18.4,26.9,91,74,210,10,3.5,23,1.97,91.37318641,1.896297337
179,18.8,25.4,91,77,210,16,1.5,18,2,73.95382165,2.961129083
159,18.6,25.9,90,79,209,13,3,16,2.01,78.09235529,2.625623843
140,16.7,25.7,86,66,13,1,5,29,1.71,90.59912755,1.812781166
106,15.6,27,85,59,0,0,6.46,31,1.62,104.2741869,1.016318281
67,16.1,27.1,85,58,23,3,7,24,1.62,103.3941676,1.107672379
67,17,30.3,89,45,50,3,8.15,31,1.53,135.6230053,0.749510499
122,20.1,31.5,89,56,69,5,8,30,1.66,138.6257069,0.984249147
178,20.5,29.1,88,66,170,12,4.1,28,1.82,107.9697845,1.905401713
158,20.4,25.9,89,77,151,15,2.4,20,1.95,82.95663593,3.562308396
142,19.9,25.7,92,77,175,16,1.4,14,1.99,75.49079963,3.39041558
117,19.5,24.8,89,80,248,17,1.45,13,2.04,77.86380783,3.650057112
144,18.5,27.3,90,63,49,4,5.35,29,1.74,104.6965933,1.791095928
189,19.5,26.3,90,78,303,18,2,18,2.06,79.94790183,2.88985619
162,19.2,26.2,91,75,196,9,3,19,1.97,78.30282047,2.848599794
130,15,26.1,90,61,52,3,5.3,29,1.72,91.43214503,1.109278777
93,15,26.9,88,58,0,0,7,30,1.63,104.1038902,0.957900843
70,17.3,28.5,90,57,24,2,6.4,26,1.65,100.3681774,1.111115719
116,17.9,30.2,88,58,47,4,7.26,31,1.67,131.4294153,0.879209596
203,19.8,29.8,91,62,135,8,5,29,1.79,110.3189668,1.417983196
185,20.5,29,87,69,56,2,4.16,27,1.79,107.6925153,2.020536052
142,20.5,28,88,69,200,14,3,20,1.87,92.19602964,2.484611895
137,19.7,26.2,92,76,248,25,0.45,8,2.02,70.71581836,3.007347182
152,19.5,26.1,92,73,178,14,2.3,19,1.94,83.11282127,2.953949553
154,18.7,27.2,93,70,92,6,6,29,1.87,106.7846695,1.977790976
167,19.1,26.4,91,76,381,18,3.35,21,2.09,88.14022957,2.671833094
159,18.8,26.1,91,72,66,9,4,21,1.86,83.25133547,2.742090925
