YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
836.58,13.45212494,27.81326165,82.7968254,64.74874552,266.9,38,5.366666667,80,1.244433035,11.13524522,11.32311753,0.727162481,111.968902,0.838881418,128.7642373,213.6,24.22297747,17.04240911
787.88,17.68817204,24.48673835,87.64731183,79.31039427,1976.7,74,2.443333333,46,1.278365117,14.38227131,14.56454716,0.818880505,83.57815403,2.826463342,96.11487713,1581.6,22.78709677,19.38781362
729.51,17.6297491,23.8655914,90.50107527,81.98924731,960.4,54,4.83,84,1.30206973,16.99575297,17.19651145,0.889230012,88.63703225,3.214119784,101.9325871,768,22.30663082,19.18870968
757.25,14.38458781,25.54623656,86.37885305,72.11541219,237.8,5,8.28,90,1.274332661,16.05631039,16.25641995,0.831355197,105.7828462,1.51460236,121.6502732,190.4,22.75582437,17.175
755.47,14.68604711,28.37726575,78.44731183,58.26958525,215.3,38,4.62,75,1.202038459,13.35373307,13.53247063,0.691255623,109.4318286,0.81108334,125.8466028,172.8,24.95446109,18.10885177
674.55,18.53405018,24.39426523,90.60609319,83.72616487,2380.5,79,1.81,41,1.317357294,15.61057362,15.78940731,0.820421299,77.5676035,3.388254158,89.20274402,1904.8,22.92921147,19.99910394
707.4,17.74050179,22.90179211,93.75197133,85.97849462,1219.4,39,4.563333333,74,1.33103081,17.36128562,17.5686812,0.918064689,83.67561669,3.814431059,96.22695919,976,21.61146953,19.03082437
835.22,13.30394265,24.90967742,85.390681,73.11326165,104.4,4,7.97,89,1.253007923,15.75577754,15.9597963,0.839127712,103.4421576,1.499104327,118.9584812,83.2,22.00824373,16.20537634
851.32,13.08886329,26.92580645,80.94603175,66.12603687,782.8,47,3.753333333,62,1.215105203,11.61795201,11.80034685,0.74074678,99.74427749,1.070296878,114.7059191,626.4,23.46657066,16.54809908
713.86,17.43189964,22.93548387,92.16810036,85.34767025,2147.6,65,3.01,60,1.318813298,14.4648398,14.65169055,0.851953175,81.07906237,3.657839257,93.24092173,1718.4,21.55958781,18.8077957
637.85,16.87562724,23.99892473,91.87956989,84.95519713,893.8,33,5.58,83,1.32408148,16.40842449,16.61583891,0.903458035,92.20889075,2.906290662,106.0402244,714.4,22.21810036,18.65645161
698.1,12.5046595,26.09426523,86.79964158,76.87455197,191.2,7,7.493333333,91,1.290437113,14.68875149,14.8883632,0.841983053,103.2309013,0.901601045,118.7155365,152.8,22.6968638,15.90206093
742.71,14.54101382,27.50030722,88.42252944,72.58650794,422.5,49,4.75,74,1.312309334,12.22829845,12.42128456,0.814080175,104.6550386,1.033371859,120.3532944,338.4,24.26048387,17.78083717
622.04,16.91863799,24.44444444,90.36630824,82.8483871,2387.5,67,2.756666667,54,1.318004839,14.72693885,14.92154864,0.852865941,83.59714287,2.819742563,96.1367143,1909.6,22.56299283,18.80008961
557.12,16.53512545,24.10358423,91.65698925,84.91146953,603.1,19,6.44,81,1.325161452,16.09571306,16.30139277,0.905043172,97.80104733,2.836052004,112.4712044,482.4,22.21146953,18.42724014
630.93,12.19175627,26.45483871,85.85412186,67.12401434,95.8,10,7.103333333,89,1.280512242,14.25866619,14.45670848,0.804326481,102.3846207,0.873602806,117.7423138,76.8,22.8890681,15.75752688
644.97,13.55998464,27.73428059,89.41510497,71.0061956,631.8,52,3.993333333,67,1.329552699,11.50993348,11.69926455,0.769307411,100.5600752,1.009093607,115.6440865,505.6,24.19070661,17.10355863
656.1,16.88422939,23.87670251,92.57275986,85.40035842,2294.9,67,2.386666667,60,1.336165927,14.31490612,14.51411107,0.884326556,79.10764616,3.148245029,90.97379308,1836,22.12858423,18.63234767
649.4,15.98817204,23.90286738,91.91469534,85.11397849,932.2,29,5.116666667,85,1.322747399,15.80371892,16.0130236,0.908509845,89.16057497,2.698798872,102.5346612,746.4,21.92419355,17.96684588
738.84,13.32329749,26.27383513,87.01362007,71.12616487,30.5,5,7.393333333,87,1.290106468,14.64997921,14.8507945,0.831951921,103.4828013,1.253673481,119.0052215,24.8,23.03620072,16.5609319
798.58,12.82370712,27.71349206,86.28996416,62.00752688,363.6,36,4.796666667,75,1.283100324,11.96698538,12.15586896,0.735805908,107.0829997,0.782118454,123.1454497,290.4,23.99104583,16.54615335
745.52,17.85770609,24.76236559,91.41397849,84.17849462,1625.6,54,3.62,64,1.328751282,13.96977063,14.16311086,0.851343357,89.37626838,3.185796117,102.7827086,1300.8,23.03620072,19.58387097
648.79,16.92007168,24.07992832,90.55555556,85.49677419,663.3,28,5.293333333,82,1.310009121,16.77025098,16.97456004,0.893592793,91.56383667,3.09343473,105.2984122,531.2,22.28996416,18.71003584
647.19,13.1483871,26.72867384,87.209319,71.79103943,105.4,9,7.833333333,90,1.300928185,15.5153491,15.71430824,0.834850783,107.7890615,1.434999775,123.9574207,84.8,23.33360215,16.54345878
