YPH,Tmax,Tmin,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
125,31.8,15.7,92,59,0,0,9.57,31,1.69,131.1179438,0.738062074
104,31.6,14.6,87,55,0,0,9.56,28,1.59,129.2499498,0.707804733
129,31.5,18.8,92,78,45.9,6,9.26,31,1.93,146.9523084,1.199433008
161,30.8,20.7,95,81,89.72,6,8.96,30,2.02,139.4722729,1.997945811
164,30.4,21.2,96,87,604.03,13,5.16,25,2.39,112.4877269,2.336879771
170,26.5,20.2,98,94,539.2,18,5.62,26,2.46,96.11443749,3.662510873
143,25.5,20,97,89,681.37,29,4.57,24,2.47,89.60013193,4.01411443
148,27.2,19.3,96,90,489.91,18,5.98,27,2.36,106.2788407,2.974181638
171,29.3,18.9,98,91,396,19,6.67,28,2.34,112.0768971,1.954519143
196,29.2,18.9,97,88,131.14,14,8.63,30,2.15,124.0951253,2.100027197
200,29.3,18.4,98,83,202.02,9,8.1,30,2.14,108.3181549,1.955815584
163,30.9,14.3,97,91,0,0,9.56,31,2.11,125.6104398,0.774603939
131,31.9,12.8,85,54,2.46,0,9.53,31,1.56,134.816249,0.684766304
110,33.3,12.5,84,41,2.46,0,9.53,28,1.4,133.345172,0.667876692
102,33.7,16.9,92,55,16.9,1,9.46,31,1.66,156.6875502,0.760785415
123,35.2,16.7,89,63,121.44,11,8.68,30,1.77,160.6054246,0.686723823
210,33.7,17.2,95,85,161.88,12,8.39,30,2.1,153.5828561,0.740478501
149,31.8,19.7,95,86,778.91,21,3.85,23,2.48,106.4891703,1.401010279
109,25.9,19.6,98,92,1259.52,29,0.2,13,2.84,62.30866302,3.78647853
148,27.6,17.7,98,90,801.73,21,3.66,22,2.55,91.60550022,2.221910785
153,28.3,17.4,99,94,504.64,22,5.85,27,2.45,103.1961673,1.877148423
167,29.9,16.6,98,87,175.05,15,8.29,30,2.17,125.1796955,1.220152824
160,30.1,16.2,85,68,30.6,3,9.34,31,1.73,126.9687249,1.141153602
135,30.9,14.2,97,91,16.89,2,9.44,31,2.12,123.9946916,0.784041833
115,31.9,15.5,98,91,0,0,9.57,31,2.12,129.9151451,0.810122301
115,32.5,16,90,59,23.22,2,9.4,29,1.68,131.0341945,0.796614827
149,30.7,17.1,86,52,154.12,10,8.44,30,1.63,142.1864791,1.16377326
249,30.8,19.2,92,69,81.09,8,9,30,1.85,142.0448404,1.637777121
219,30.2,19.9,91,73,52.88,6,9.22,30,1.86,146.34435,2.000906095
187,27.4,20.1,94,82,467.37,24,6.15,27,2.24,106.2989932,3.263151202
168,27.7,20,97,83,713.72,23,4.34,24,2.42,94.63658626,2.985981539
141,27,20.1,96,82,509.53,22,5.84,27,2.28,105.2056864,3.299948645
191,27.6,20.7,93,74,184.11,15,8.26,30,1.98,122.6987701,3.27355009
219,28.3,18.8,92,77,245.7,12,7.78,30,2.03,120.3168985,2.048187371
192,29,17,88,80,18.8,2,9.44,31,1.89,122.3202125,1.1922611
164,29.4,16.8,83,67,0.4,0,9.58,31,1.68,124.3465227,1.069291381
91,30.1,14.1,86,46,0,0,9.56,31,1.48,126.2384114,0.702970493
75,32.3,16,78,48,0,0,9.57,28,1.41,131.9232071,0.689674055
81,32.5,18.2,89,52,25.4,6,9.41,31,1.59,152.8670845,0.761507728
109,32,20.7,92,69,131.31,8,8.65,30,1.88,144.6045545,1.181854395
192,29.6,20.6,90,73,82.7,11,9.01,30,1.88,144.2413672,1.934096779
169,27.4,20.4,97,79,392.9,19,6.71,28,2.19,106.749093,2.885364653
145,28.3,20.2,96,90,1621.6,27,0.3,13,3,70.37757118,2.275706157
